start_time,end_time,action,is_fall
0,4,None,False
5,5,Stand,False
6,6,Stand-Sit,False
7,10,Sit,False
10,10,Sit-Stand,False
11,12,Stand,False
13,18,None,False
19,19,Stand,False
20,21,Stand-Sit,False
22,24,Sit,False
25,25,Sit-Stand,False
26,29,Stand,False
30,30,Stand-Sit,False
31,34,Sit,False
35,35,Sit-Stand,False
35,35,Sit-Stand,False
36,36,Stand,False
37,40,None,False
41,42,Stand,False
43,43,Stand-Sit,False
44,76,Sit,False
77,77,Sit-Stand,False
78,80,Stand,False
81,88,None,False
89,89,Stand,False
90,90,Stand-Sit,False
91,91,Sit,False
92,92,Sit-Lie,False
93,97,Lie,False
98,98,Lie-Sit,False
99,99,Sit,False
100,100,Sit-Stand,False
101,103,Stand,False
104,109,None,False
110,111,Stand,False
112,112,Stand-Sit,False
113,113,Sit-Lie,False
114,118,Lie,False
119,119,Lie-Sit,False
120,120,Sit-Stand,False
121,123,Stand,False
124,127,None,False
128,128,Stand,False
129,129,Stand-Sit,False
130,130,Sit,False
131,131,Sit-Lie,False
132,133,Lie,False
134,134,Lie-Sit,False
135,135,Sit,False
136,136,Sit-Stand,False
137,139,Stand,False
140,142,None,False
143,143,Stand-Lie,True
144,146,Lie,True
147,147,Lie-Sit,False
148,148,Sit-Stand,False
149,149,Stand,False
149,150,Stand,False
151,154,None,False
155,155,Stand-Lie,True
156,159,Lie,True
160,160,Lie-Stand,False
161,162,Stand,False
163,166,None,False
167,168,Stand-Lie,True
169,170,Lie,True
171,171,Lie-Stand,False
172,173,Stand,False
174,177,None,False
178,179,Stand-Lie,True
180,182,Lie,True
183,183,Lie-Sit,False
184,184,Sit-Stand,False
185,186,Stand,False
187,187,Stand-Sit,False
188,188,Sit,False
189,189,Sit-Stand,False
190,213,Stand,False
214,215,Stand-Sit,False
216,227,Sit,False
228,228,Sit-Stand,False
229,230,Stand,False
231,236,None,False
0,3,None,False
4,5,Stand-Sit,False
6,9,Sit,False
10,10,Sit-Stand,False
11,11,Stand,False
12,15,None,False
16,19,Stand,False
20,20,Stand-Sit,False
21,28,Sit,False
29,29,Stand-Sit,False
30,34,Stand,False
34,34,Stand-Sit,False
35,40,Sit,False
41,41,Sit-Stand,False
42,43,Stand,False
44,44,Stand-Sit,False
45,47,Sit,False
48,48,Sit-Stand,False
49,56,Stand,False
57,57,Stand-Sit,False
58,58,Sit,False
59,59,Sit-Lie,False
60,63,Lie,False
64,64,Lie-Sit,False
65,67,Sit,False
68,68,Sit-Stand,False
69,69,Stand-Sit,False
70,70,Sit,False
71,71,Sit-Stand,False
72,72,Stand-Sit,True
73,73,Sit-Lie,True
74,74,Lie,True
75,75,Lie-Sit,False
76,76,Sit-Stand,False
77,82,Stand,False
83,84,Stand-Lie,True
85,86,Lie,True
87,88,Lie-Sit,False
89,89,Sit-Stand,False
90,93,Sit-Stand,False
94,95,None,False
96,97,Stand,False
99,99,None,False
100,101,Stand,False
102,102,Stand-Sit,False
103,107,Sit,False
108,108,Sit-Stand,False
109,115,Stand,False
115,122,None,False
123,125,Stand,False
126,126,Stand-Sit,False
127,130,Sit,False
131,131,Sit-Stand,False
