start_time,end_time,action,is_fall
0,3,None,False
4,16,Stand,False
17,17,Stand-Sit,False
18,19,Sit,False
20,24,Sit-Lie,False
25,25,Sit-Stand,False
26,32,Stand,False
32,36,None,False
37,46,Stand,False
47,47,Stand-Sit,False
48,53,Sit,False
54,55,Sit-Stand,False
56,59,Stand,False
60,60,Stand-Lie,True
61,63,Lie,True
64,64,Lie-Sit,False
65,65,Sit,False
66,66,Sit-Stand,False
67,72,Stand,False
73,73,Stand-Lie,True
74,76,Lie,True
77,77,Lie-Sit,False
78,78,Sit-Stand,False
79,84,Stand,False
85,85,Stand-Sit,False
86,86,Sit,False
87,88,Sit-Lie,False
89,92,Lie,False
93,93,Lie-Sit,False
94,94,Sit-Stand,False
95,108,Stand,False
109,113,None,False
114,124,Stand,False
125,127,None,False
0,7,None,False
8,27,Stand,False
28,28,Stand-Sit,False
28,28,Stand-Sit,False
29,32,Sit,False
33,33,Sit-Stand,False
34,43,Stand,False
44,44,Stand-Sit,False
45,49,Sit,False
50,50,Sit-Stand,False
51,60,Stand,False
61,61,Stand-Sit,False
62,62,Sit-Lie,False
63,67,Lie,False
68,68,Lie-Sit,False
69,69,Sit-Stand,False
70,74,Stand,False
75,75,Stand-Sit,False
76,76,Sit,False
77,77,Sit-Lie,False
78,82,Lie,False
83,83,Lie-Sit,False
84,84,Sit,False
85,85,Sit-Stand,False
86,87,Stand,False
88,88,Stand-Lie,True
89,90,Lie,True
91,91,Lie-Sit,False
92,92,Sit-Stand,False
93,96,Stand,False
97,97,Stand-Lie,True
98,99,Lie,True
100,100,Lie-Stand,False
101,104,Stand,False
105,105,Stand-Lie,True
106,106,Lie,True
107,107,Lie-Sit,False
108,108,Sit,False
109,109,Sit-Stand,False
110,121,Stand,False
122,122,Stand-Sit,False
123,126,Sit,False
127,127,Sit-Lie,True
129,129,Lie,True
130,132,Lie-Stand,False
133,138,Stand,False
139,139,Stand-Lie,True
140,140,Lie,True
141,141,Lie-Sit,True
142,144,Sit-Stand,False
145,157,Stand,False
158,158,Stand-Sit,False
159,165,Sit,False
166,166,Sit-Stand,False
167,167,Stand-Lie,True
168,171,Lie,True
172,172,Lie-Sit,False
173,180,Sit,False
181,181,Sit-Stand,False
182,211,Stand,False
212,212,Stand-Sit,False
213,213,Sit,False
214,214,Sit-Lie,False
215,220,Lie,False
221,221,Lie-Sit,False
222,223,Sit-Stand,False
224,229,Stand,False
230,234,None,False
