start_time,end_time,action,is_fall
0,7,None,False
8,12,Stand,False
13,17,None,False
18,20,Stand,False
21,22,Stand-Sit,False
22,24,Sit,False
25,25,Sit-Stand,False
26,32,Stand,False
33,33,Stand-Sit,False
34,37,Sit,False
38,38,Sit-Stand,False
39,39,Stand,False
40,40,Stand-Sit,False
41,50,Sit,False
51,51,Sit-Stand,False
52,105,Stand,False
106,119,None,False
120,127,Stand,False
128,128,Sit,False
129,135,Stand,False
135,144,Stand,False
145,145,Stand-Sit,False
146,147,Sit,False
148,148,Sit-Lie,False
149,159,Lie,False
160,160,Lie-Sit,False
161,169,Sit,False
170,170,Sit,False
171,171,Sit-Lie,False
172,176,Lie,False
177,177,Lie,False
178,178,Lie-Stand,False
179,190,Stand,False
191,194,None,False
195,203,Stand,False
204,204,Stand-Lie,True
205,211,Lie,True
212,212,Lie-Sit,False
213,213,Sit,False
214,214,Sit-Stand,False
215,218,Stand,False
219,219,Stand-Sit,True
220,220,Sit,True
221,221,Sit-Stand,False
222,255,Stand,False
256,257,Stand-Sit,False
258,260,Sit,False
261,261,Sit-Stand,False
262,297,Stand,False
298,314,None,False
315,323,Stand,False
324,345,None,False
346,381,Sit,False
382,382,Sit-Stand,False
383,383,Stand-Lie,True
384,384,Lie-Sit,True
385,385,Sit-Stand,False
386,388,Stand,False
389,390,None,False
