start_time,end_time,action,is_fall
0,9,None,False
10,11,Stand,False
12,16,None,False
17,19,Stand,False
20,29,None,False
30,32,Stand,False
33,33,Stand-Sit,False
34,36,Sit,False
37,40,Stand,False
41,44,None,False
45,46,Stand-Lie,True
47,47,Sit-Stand,False
48,48,Stand,False
0,8,None,False
9,27,Stand,False
28,28,Stand-Lie,True
29,29,Lie,True
30,30,Lie-Stand,False
31,34,Stand,False
35,35,Stand-Sit,False
36,42,Sit,False
43,55,Stand,False
56,56,Stand-Lie,False
57,80,Stand,False
81,81,Stand-Sit,False
82,88,Sit,False
89,98,Stand,False
99,106,Sit,False
107,127,Stand,False
128,128,Stand-Lie,False
129,134,Stand,False
135,135,Sit,False
136,136,Lie,True
137,154,Stand,False
155,159,None,False
160,162,Stand,False
163,163,Stand-Sit,True
164,164,Sit-Lie,True
165,165,Lie,True
166,166,Lie-Stand,False
167,171,Stand,False
172,182,Sit,False
183,186,Stand,False
187,187,Stand,False
188,204,Stand,False
205,206,None,False
0,7,None,False
8,12,Stand,False
13,17,None,False
18,20,Stand,False
21,22,Stand-Sit,False
22,24,Sit,False
25,25,Sit-Stand,False
26,32,Stand,False
33,33,Stand-Sit,False
34,37,Sit,False
38,38,Sit-Stand,False
39,39,Stand,False
40,40,Stand-Sit,False
41,50,Sit,False
51,51,Sit-Stand,False
52,105,Stand,False
106,119,None,False
120,127,Stand,False
128,128,Sit,False
129,135,Stand,False
135,144,Stand,False
145,145,Stand-Sit,False
146,147,Sit,False
148,148,Sit-Lie,False
149,159,Lie,False
160,160,Lie-Sit,False
161,169,Sit,False
170,170,Sit,False
171,171,Sit-Lie,False
172,176,Lie,False
177,177,Lie,False
178,178,Lie-Stand,False
179,190,Stand,False
191,194,None,False
195,203,Stand,False
204,204,Stand-Lie,True
205,211,Lie,True
212,212,Lie-Sit,False
213,213,Sit,False
214,214,Sit-Stand,False
215,218,Stand,False
219,219,Stand-Sit,True
220,220,Sit,True
221,221,Sit-Stand,False
222,255,Stand,False
256,257,Stand-Sit,False
258,260,Sit,False
261,261,Sit-Stand,False
262,297,Stand,False
298,314,None,False
315,323,Stand,False
324,345,None,False
346,381,Sit,False
382,382,Sit-Stand,False
383,383,Stand-Lie,True
384,384,Lie-Sit,True
385,385,Sit-Stand,False
386,388,Stand,False
389,390,None,False
