start_time,end_time,action,is_fall
0,7,None,0
8,12,Stand,0
13,17,None,0
18,20,Stand,0
21,22,Stand-Sit,0
22,24,Sit,0
25,25,Sit-Stand,0
26,32,Stand,0
33,33,Stand-Sit,0
34,37,Sit,0
38,38,Sit-Stand,0
39,39,Stand,0
40,40,Stand-Sit,0
41,50,Sit,0
51,51,Sit-Stand,0
52,105,Stand,0
106,119,None,0
120,127,Stand,0
128,128,Sit,0
129,135,Stand,0
135,144,Stand,0
145,145,Stand-Sit,0
146,147,Sit,0
148,148,Sit-Lie,0
149,159,Lie,0
160,160,Lie-Sit,0
161,169,Sit,0
170,170,Sit-Lie,0
171,176,Lie,0
177,177,Lie-Fall,1
178,178,Lie-Stand,0
179,190,Stand,0
191,194,None,0
195,202,Stand,0
203,204,Stand-Lie,1
204,211,Lie,0
212,212,Lie-Sit,0
213,213,Sit,0
214,214,Sit-Stand,0
215,217,Stand,0
218,219,Stand-Sit,1
220,221,Sit-Stand,0
222,255,Stand,0
256,257,Stand-Sit,0
258,260,Sit,0
261,261,Sit-Stand,0
262,297,Stand,0
298,314,None,0
315,323,Stand,0
324,345,None,0
346,381,Sit,0
382,382,Sit-Stand,0
383,383,Stand-Lie,1
384,384,Sit-Stand,0
385,388,Stand,0
389,390,None,0
